SHORT,LONG
MELGA,"Turkey"
PHACA,"Great_cormorant"
PHALE,"White-tailed_tropicbird"
EURHE,"Sunbittern"
TAEGU,"Zebra_finch"
COLLI,"Pigeon"
MESUN,"Brown_mesite"
CHAVO,"Killdeer"
CALAN,"Annas_hummingbird"
ACACH,"Rifleman"
APAVI,"Bar-tailed_trogon"
CARCR,"Red-legged_seriema"
PYGAD,"Adelie_penguin"
MANVI,"Golden-collared_manakin"
CHAPE,"Chimney_swift"
TINMA,"White-throated_tinamou"
NIPNI,"Crested_ibis"
GEOFO,"Medium_ground-finch"
NESNO,"Kea"
PHORU,"American_flamingo"
BALRE,"Grey-crowned_crane"
OPHHO,"Hoatzin"
STRCA,"Common_ostrich"
HALLE,"Bald_eagle"
APTFO,"Emperor_penguin"
COLST,"Speckled_mousebird"
PELCR,"Dalmatian_pelican"
CAPCA,"Chuck-wills-widow"
PICPU,"Downy_woodpecker"
HALAL,"White-tailed_eagle"
TYTAL,"Barn_owl"
FALPE,"Peregrine_falcon"
PTEGU,"Yellow-throated_sandgrouse"
GAVST,"Red-throated_loon"
TAUER,"Red-crested_turaco"
GALGA,"Chicken"
FULGL,"Northern_fulmar"
EGRGA,"Little_egret"
CORBR,"American_crow"
CATAU,"Turkey_vulture"
MELUN,"Budgerigar"
CUCCA,"Common_cuckoo"
ANAPL,"Pekin_duck"
CHLUN,"MacQueens_bustard"
PODCR,"Great-crested_grebe"
LEPDI,"Cuckoo-roller"
MERNU,"Carmine_bee-eater"
BUCRH,"Rhinoceros_hornbill"
